transaction_id,transaction_date,client_id,category,status,amount,is_success,is_failed,is_refunded
TXN-000001,2026-03-23,Client_1002,E-commerce,success,2524.43,True,False,False
TXN-000002,2026-01-18,Client_1002,Retail,success,4277.03,True,False,False
TXN-000003,2026-01-04,Client_1002,Bills Payment,success,6059.99,True,False,False
TXN-000004,2026-03-13,Client_1004,Retail,success,4547.17,True,False,False
TXN-000005,2026-02-05,Client_1001,Bills Payment,success,3468.48,True,False,False
TXN-000006,2026-01-20,Client_1004,Bank Transfer,success,3861.28,True,False,False
TXN-000007,2026-02-15,Client_1006,Retail,success,530.16,True,False,False
TXN-000008,2026-02-28,Client_1009,E-commerce,refunded,3847.49,False,False,True
TXN-000009,2026-03-12,Client_1005,Retail,failed,3680.19,False,True,False
TXN-000010,2026-01-25,Client_1002,E-commerce,success,7753.38,True,False,False
TXN-000011,2026-01-11,Client_1004,E-commerce,success,4588.76,True,False,False
TXN-000012,2026-04-17,Client_1006,Bills Payment,success,2174.12,True,False,False
TXN-000013,2026-02-04,Client_1002,Retail,success,5387.98,True,False,False
TXN-000014,2026-02-01,Client_1003,Subscription,success,9896.28,True,False,False
TXN-000015,2026-03-23,Client_1009,Bills Payment,success,8444.23,True,False,False
TXN-000016,2026-04-10,Client_1001,Bills Payment,success,8069.95,True,False,False
TXN-000017,2026-02-21,Client_1005,E-commerce,success,9434.81,True,False,False
TXN-000018,2026-04-23,Client_1006,Bills Payment,success,4016.76,True,False,False
TXN-000019,2026-04-28,Client_1008,Bills Payment,success,2541.61,True,False,False
TXN-000020,2026-03-13,Client_1009,Bank Transfer,success,4341.49,True,False,False
TXN-000021,2026-03-16,Client_1007,Bank Transfer,success,9975.62,True,False,False
TXN-000022,2026-03-07,Client_1008,E-commerce,success,8624.92,True,False,False
TXN-000023,2026-01-20,Client_1003,Subscription,success,3909.2,True,False,False
TXN-000024,2026-03-18,Client_1008,Retail,success,5576.94,True,False,False
TXN-000025,2026-01-02,Client_1002,Retail,success,7709.13,True,False,False
TXN-000026,2026-02-13,Client_1002,Bank Transfer,success,4591.86,True,False,False
TXN-000027,2026-04-03,Client_1005,Retail,success,5126.05,True,False,False
TXN-000028,2026-01-14,Client_1005,Retail,success,1613.11,True,False,False
TXN-000029,2026-04-08,Client_1003,Retail,failed,9232.1,False,True,False
TXN-000030,2026-04-28,Client_1001,Retail,success,292.82,True,False,False
TXN-000031,2026-04-29,Client_1006,Bank Transfer,success,2484.63,True,False,False
TXN-000032,2026-03-14,Client_1002,E-commerce,success,8178.63,True,False,False
TXN-000033,2026-04-08,Client_1009,Bills Payment,success,4805.3,True,False,False
TXN-000034,2026-03-12,Client_1003,Bank Transfer,success,6105.28,True,False,False
TXN-000035,2026-01-28,Client_1009,Bills Payment,success,4050.02,True,False,False
TXN-000036,2026-03-27,Client_1006,Subscription,failed,4569.71,False,True,False
TXN-000037,2026-02-01,Client_1004,E-commerce,success,5924.26,True,False,False
TXN-000038,2026-01-30,Client_1010,Bills Payment,success,7107.63,True,False,False
TXN-000039,2026-01-08,Client_1004,E-commerce,failed,8610.39,False,True,False
TXN-000040,2026-01-10,Client_1009,Bills Payment,success,4905.6,True,False,False
TXN-000041,2026-03-11,Client_1003,Retail,success,2505.67,True,False,False
TXN-000042,2026-03-02,Client_1007,Bills Payment,success,6623.93,True,False,False
TXN-000043,2026-02-15,Client_1007,Subscription,success,7317.85,True,False,False
TXN-000044,2026-03-28,Client_1002,E-commerce,success,3459.1,True,False,False
