transaction_id,transaction_date,client_id,category,status,amount
TXN-000001,2026-03-23,Client_1002,E-commerce,success,2524.43
TXN-000002,2026-01-18,Client_1002,Retail,success,4277.03
TXN-000003,2026-01-04,Client_1002,Bills Payment,success,6059.99
TXN-000004,2026-03-13,Client_1004,Retail,success,4547.17
TXN-000005,2026-02-05,Client_1001,Bills Payment,success,3468.48
TXN-000006,2026-01-20,Client_1004,Bank Transfer,success,3861.28
TXN-000007,2026-02-15,Client_1006,Retail,success,530.16
TXN-000008,2026-02-28,Client_1009,E-commerce,refunded,3847.49
TXN-000009,2026-03-12,Client_1005,Retail,failed,3680.19
TXN-000010,2026-01-25,Client_1002,E-commerce,success,7753.38
TXN-000011,2026-01-11,Client_1004,E-commerce,success,4588.76
TXN-000012,2026-04-17,Client_1006,Bills Payment,success,2174.12
TXN-000013,2026-02-04,Client_1002,Retail,success,5387.98
TXN-000014,2026-02-01,Client_1003,Subscription,success,9896.28
TXN-000015,2026-03-23,Client_1009,Bills Payment,success,8444.23
TXN-000016,2026-04-10,Client_1001,Bills Payment,success,8069.95
TXN-000017,2026-02-21,Client_1005,E-commerce,success,9434.81
TXN-000018,2026-04-23,Client_1006,Bills Payment,success,4016.76
TXN-000019,2026-04-28,Client_1008,Bills Payment,success,2541.61
TXN-000020,2026-03-13,Client_1009,Bank Transfer,success,4341.49
TXN-000021,2026-03-16,Client_1007,Bank Transfer,success,9975.62
TXN-000022,2026-03-07,Client_1008,E-commerce,success,8624.92
TXN-000023,2026-01-20,Client_1003,Subscription,success,3909.2
TXN-000024,2026-03-18,Client_1008,Retail,success,5576.94
TXN-000025,2026-01-02,Client_1002,Retail,success,7709.13
TXN-000026,2026-02-13,Client_1002,Bank Transfer,success,4591.86
TXN-000027,2026-04-03,Client_1005,Retail,success,5126.05
TXN-000028,2026-01-14,Client_1005,Retail,success,1613.11
TXN-000029,2026-04-08,Client_1003,Retail,failed,9232.1
TXN-000030,2026-04-28,Client_1001,Retail,success,292.82
TXN-000031,2026-04-29,Client_1006,Bank Transfer,success,2484.63
TXN-000032,2026-03-14,Client_1002,E-commerce,success,8178.63
TXN-000033,2026-04-08,Client_1009,Bills Payment,success,4805.3
TXN-000034,2026-03-12,Client_1003,Bank Transfer,success,6105.28
TXN-000035,2026-01-28,Client_1009,Bills Payment,success,4050.02
TXN-000036,2026-03-27,Client_1006,Subscription,failed,4569.71
TXN-000037,2026-02-01,Client_1004,E-commerce,success,5924.26
TXN-000038,2026-01-30,Client_1010,Bills Payment,success,7107.63
TXN-000039,2026-01-08,Client_1004,E-commerce,failed,8610.39
TXN-000040,2026-01-10,Client_1009,Bills Payment,success,4905.6
TXN-000041,2026-03-11,Client_1003,Retail,success,2505.67
TXN-000042,2026-03-02,Client_1007,Bills Payment,success,6623.93
TXN-000043,2026-02-15,Client_1007,Subscription,success,7317.85
TXN-000044,2026-03-28,Client_1002,E-commerce,success,3459.1
TXN-000045,2026-04-21,Client_1002,Bills Payment,success,5409.23
TXN-000046,2026-01-18,Client_1007,Bills Payment,success,2573.08
TXN-000047,2026-04-29,Client_1002,Subscription,success,8574.07
TXN-000048,2026-01-13,Client_1001,Retail,success,9693.06
TXN-000049,2026-04-29,Client_1004,Bills Payment,success,4865.45
TXN-000050,2026-04-21,Client_1007,E-commerce,success,121.34
TXN-000051,2026-02-19,Client_1005,Subscription,success,6996.26
TXN-000052,2026-04-04,Client_1009,Subscription,success,3037.41
TXN-000053,2026-01-08,Client_1010,Retail,success,3204.69
TXN-000054,2026-01-07,Client_1010,Subscription,success,8541.93
TXN-000055,2026-01-21,Client_1001,Retail,success,1939.67
TXN-000056,2026-03-18,Client_1002,Bills Payment,success,9421.8
TXN-000057,2026-03-14,Client_1004,Retail,success,6231.88
TXN-000058,2026-02-23,Client_1010,Retail,success,9353.59
TXN-000059,2026-01-27,Client_1006,Bills Payment,success,1395.69
TXN-000060,2026-03-24,Client_1005,Subscription,success,7543.46
TXN-000061,2026-01-10,Client_1001,Subscription,success,5673.64
TXN-000062,2026-01-13,Client_1002,Retail,success,2725.48
TXN-000063,2026-04-30,Client_1006,E-commerce,success,3758.32
TXN-000064,2026-01-21,Client_1008,Retail,success,6155.61
TXN-000065,2026-04-14,Client_1009,E-commerce,success,5590.56
TXN-000066,2026-04-30,Client_1002,Bills Payment,success,8908.16
TXN-000067,2026-04-06,Client_1009,Bills Payment,success,6087.82
TXN-000068,2026-04-02,Client_1006,Bills Payment,success,8543.84
TXN-000069,2026-03-06,Client_1008,Bank Transfer,failed,8476.43
TXN-000070,2026-01-12,Client_1007,Bank Transfer,success,3402.21
TXN-000071,2026-01-17,Client_1005,Bills Payment,success,5561.64
TXN-000072,2026-02-24,Client_1009,E-commerce,success,9456.0
TXN-000073,2026-03-30,Client_1003,Retail,success,3755.24
TXN-000074,2026-03-12,Client_1003,Subscription,success,3151.76
TXN-000075,2026-04-26,Client_1001,Bank Transfer,success,2570.34
TXN-000076,2026-01-14,Client_1006,Retail,failed,4123.14
TXN-000077,2026-03-21,Client_1003,Bills Payment,success,9764.44
TXN-000078,2026-04-14,Client_1003,Subscription,success,7391.99
TXN-000079,2026-02-12,Client_1007,Bills Payment,success,7895.01
TXN-000080,2026-01-14,Client_1007,E-commerce,success,2302.09
TXN-000081,2026-04-15,Client_1008,Bank Transfer,success,7973.92
TXN-000082,2026-01-30,Client_1004,E-commerce,success,4044.81
TXN-000083,2026-02-05,Client_1002,Bank Transfer,success,5143.12
TXN-000084,2026-03-28,Client_1009,Bank Transfer,failed,1241.88
TXN-000085,2026-02-03,Client_1003,Retail,refunded,2728.12
TXN-000086,2026-01-14,Client_1010,Subscription,success,7885.64
TXN-000087,2026-02-25,Client_1010,Retail,success,9005.1
TXN-000088,2026-01-25,Client_1005,E-commerce,success,116.74
TXN-000089,2026-04-29,Client_1009,Bills Payment,success,792.74
TXN-000090,2026-03-27,Client_1006,Retail,success,8495.35
TXN-000091,2026-04-03,Client_1005,Retail,success,4143.09
TXN-000092,2026-02-21,Client_1005,Retail,success,4262.42
TXN-000093,2026-02-18,Client_1003,Retail,success,4120.14
TXN-000094,2026-04-17,Client_1001,Bank Transfer,success,4355.89
TXN-000095,2026-03-16,Client_1010,Bank Transfer,success,4477.38
TXN-000096,2026-01-28,Client_1009,Subscription,success,9602.34
TXN-000097,2026-04-05,Client_1003,E-commerce,success,6672.15
TXN-000098,2026-03-21,Client_1006,E-commerce,success,7536.27
TXN-000099,2026-03-28,Client_1005,Bills Payment,success,1558.8
TXN-000100,2026-01-06,Client_1004,Subscription,success,7708.04
TXN-000101,2026-02-28,Client_1007,Retail,success,6993.91
TXN-000102,2026-03-05,Client_1007,Bills Payment,success,6907.46
TXN-000103,2026-04-25,Client_1002,Subscription,success,8060.69
TXN-000104,2026-03-31,Client_1009,Subscription,success,2567.06
TXN-000105,2026-04-19,Client_1002,Subscription,success,4699.97
TXN-000106,2026-03-09,Client_1009,Retail,success,7576.98
TXN-000107,2026-02-26,Client_1010,Retail,success,9077.86
TXN-000108,2026-02-27,Client_1003,Subscription,success,7542.59
TXN-000109,2026-04-18,Client_1005,Retail,success,2468.53
TXN-000110,2026-02-26,Client_1002,Bank Transfer,success,3424.89
TXN-000111,2026-04-25,Client_1009,E-commerce,success,2389.49
TXN-000112,2026-03-30,Client_1003,Bills Payment,success,4135.23
TXN-000113,2026-03-11,Client_1008,Subscription,success,8345.62
TXN-000114,2026-02-19,Client_1010,E-commerce,success,7679.39
TXN-000115,2026-02-18,Client_1008,E-commerce,failed,3056.27
TXN-000116,2026-02-19,Client_1007,Retail,success,5506.71
TXN-000117,2026-03-19,Client_1004,Subscription,success,4414.78
TXN-000118,2026-01-04,Client_1007,Bank Transfer,success,8001.61
TXN-000119,2026-04-03,Client_1003,Subscription,failed,9809.15
TXN-000120,2026-03-10,Client_1001,Subscription,success,6663.7
TXN-000121,2026-01-11,Client_1007,Bills Payment,success,1899.12
TXN-000122,2026-02-03,Client_1007,Bank Transfer,success,3335.77
TXN-000123,2026-04-08,Client_1007,Bank Transfer,success,8336.05
TXN-000124,2026-02-02,Client_1002,Subscription,success,5440.25
TXN-000125,2026-02-14,Client_1004,E-commerce,success,6552.37
TXN-000126,2026-04-07,Client_1001,Bills Payment,success,301.76
TXN-000127,2026-01-20,Client_1004,Bills Payment,success,1232.46
TXN-000128,2026-01-28,Client_1008,Bank Transfer,success,1761.11
TXN-000129,2026-03-19,Client_1002,Bills Payment,refunded,1170.18
TXN-000130,2026-01-04,Client_1005,Retail,success,9585.91
TXN-000131,2026-02-20,Client_1004,E-commerce,success,8322.66
TXN-000132,2026-02-01,Client_1002,Bank Transfer,success,6044.07
TXN-000133,2026-01-16,Client_1010,E-commerce,success,4340.94
TXN-000134,2026-02-17,Client_1002,Retail,success,225.26
TXN-000135,2026-02-23,Client_1008,E-commerce,success,3685.66
TXN-000136,2026-04-25,Client_1008,Bills Payment,success,7364.57
TXN-000137,2026-03-25,Client_1005,Retail,success,5427.91
TXN-000138,2026-03-03,Client_1008,Subscription,success,5965.5
TXN-000139,2026-02-11,Client_1004,E-commerce,success,4562.94
TXN-000140,2026-04-07,Client_1008,Retail,success,3851.99
TXN-000141,2026-01-04,Client_1008,Bank Transfer,success,2199.99
TXN-000142,2026-04-13,Client_1005,Bank Transfer,success,6001.93
TXN-000143,2026-04-23,Client_1005,Retail,success,9485.82
TXN-000144,2026-01-11,Client_1004,Subscription,success,7605.83
TXN-000145,2026-03-30,Client_1008,Subscription,success,270.71
TXN-000146,2026-02-07,Client_1004,Subscription,success,3131.44
TXN-000147,2026-03-16,Client_1006,Subscription,success,3503.2
TXN-000148,2026-04-06,Client_1009,Bank Transfer,success,4592.08
TXN-000149,2026-02-09,Client_1005,Bills Payment,success,2006.58
TXN-000150,2026-01-16,Client_1009,Bills Payment,success,7412.19
TXN-000151,2026-02-05,Client_1010,Retail,success,9807.06
TXN-000152,2026-04-17,Client_1004,Bank Transfer,success,1876.47
TXN-000153,2026-01-02,Client_1009,Bills Payment,success,9745.52
TXN-000154,2026-03-12,Client_1005,Bills Payment,success,7552.64
TXN-000155,2026-01-14,Client_1001,Retail,success,4839.27
TXN-000156,2026-02-13,Client_1003,E-commerce,success,8631.06
TXN-000157,2026-01-15,Client_1002,Subscription,success,5812.51
TXN-000158,2026-03-29,Client_1001,Bills Payment,success,5672.11
TXN-000159,2026-02-08,Client_1002,Bills Payment,success,7667.99
TXN-000160,2026-03-19,Client_1010,Retail,success,5273.47
TXN-000161,2026-02-27,Client_1008,Bank Transfer,success,9901.31
TXN-000162,2026-02-09,Client_1010,Retail,success,9605.08
TXN-000163,2026-01-13,Client_1004,Bills Payment,success,903.76
TXN-000164,2026-01-31,Client_1003,Retail,success,126.49
TXN-000165,2026-02-27,Client_1010,Subscription,success,2391.61
TXN-000166,2026-04-01,Client_1005,Subscription,success,2410.9
TXN-000167,2026-02-03,Client_1010,Bills Payment,success,5491.17
TXN-000168,2026-03-24,Client_1003,Bank Transfer,success,806.96
TXN-000169,2026-01-22,Client_1005,Retail,success,5735.15
TXN-000170,2026-02-06,Client_1008,E-commerce,success,3110.5
TXN-000171,2026-02-21,Client_1005,Retail,success,4433.81
TXN-000172,2026-03-18,Client_1001,Subscription,success,6076.77
TXN-000173,2026-01-04,Client_1002,Bills Payment,refunded,8375.99
TXN-000174,2026-03-15,Client_1010,E-commerce,refunded,6755.59
TXN-000175,2026-02-04,Client_1010,E-commerce,success,1834.39
TXN-000176,2026-03-08,Client_1008,Bank Transfer,success,5894.76
TXN-000177,2026-03-23,Client_1008,E-commerce,success,4142.65
TXN-000178,2026-02-11,Client_1002,Bills Payment,success,6967.37
TXN-000179,2026-02-06,Client_1007,Retail,success,971.79
TXN-000180,2026-02-02,Client_1006,E-commerce,refunded,4101.33
TXN-000181,2026-03-07,Client_1001,Retail,success,636.62
TXN-000182,2026-03-08,Client_1006,Retail,success,6291.55
TXN-000183,2026-04-08,Client_1001,Bills Payment,success,1397.03
TXN-000184,2026-02-06,Client_1008,Subscription,success,9734.15
TXN-000185,2026-03-19,Client_1004,Bills Payment,success,235.38
TXN-000186,2026-02-22,Client_1002,Bills Payment,refunded,9138.01
TXN-000187,2026-03-01,Client_1002,Bills Payment,success,7194.37
TXN-000188,2026-03-07,Client_1005,Subscription,success,9804.42
TXN-000189,2026-02-01,Client_1008,Retail,success,1987.04
TXN-000190,2026-03-18,Client_1009,Bills Payment,success,2834.85
TXN-000191,2026-04-12,Client_1007,Bank Transfer,failed,5126.6
TXN-000192,2026-04-16,Client_1001,Bank Transfer,success,8391.01
TXN-000193,2026-03-16,Client_1008,Bills Payment,success,4894.98
TXN-000194,2026-02-12,Client_1009,Retail,success,9335.24
TXN-000195,2026-04-22,Client_1004,Bills Payment,success,2412.27
TXN-000196,2026-04-10,Client_1007,E-commerce,success,4782.46
TXN-000197,2026-04-27,Client_1007,Subscription,refunded,7944.7
TXN-000198,2026-03-25,Client_1003,Subscription,refunded,1349.84
TXN-000199,2026-03-17,Client_1006,E-commerce,success,4459.03
TXN-000200,2026-03-09,Client_1008,E-commerce,success,4158.79
TXN-000201,2026-03-25,Client_1003,E-commerce,success,9695.12
TXN-000202,2026-02-13,Client_1010,Subscription,success,8532.48
TXN-000203,2026-04-20,Client_1009,Subscription,failed,6305.31
TXN-000204,2026-04-24,Client_1008,Retail,success,777.37
TXN-000205,2026-03-22,Client_1005,Bills Payment,success,4396.32
TXN-000206,2026-01-13,Client_1002,Subscription,success,3064.71
TXN-000207,2026-01-04,Client_1001,Bank Transfer,success,3004.34
TXN-000208,2026-02-17,Client_1007,Bills Payment,success,4179.31
TXN-000209,2026-03-29,Client_1003,Bills Payment,success,6133.97
TXN-000210,2026-02-18,Client_1010,Bills Payment,success,5873.26
TXN-000211,2026-01-30,Client_1008,Bank Transfer,success,6701.72
TXN-000212,2026-04-26,Client_1008,Bank Transfer,success,1663.96
TXN-000213,2026-02-26,Client_1006,Retail,success,9624.09
TXN-000214,2026-03-30,Client_1005,Subscription,success,2072.25
TXN-000215,2026-02-19,Client_1008,E-commerce,success,5762.03
TXN-000216,2026-03-15,Client_1005,Bank Transfer,success,8317.37
TXN-000217,2026-02-20,Client_1005,E-commerce,success,6889.41
TXN-000218,2026-04-06,Client_1001,Retail,success,8345.11
TXN-000219,2026-04-26,Client_1005,Bills Payment,success,3587.98
TXN-000220,2026-03-23,Client_1004,Retail,success,7580.22
TXN-000221,2026-04-09,Client_1003,E-commerce,failed,6498.77
TXN-000222,2026-02-09,Client_1008,E-commerce,success,7350.36
TXN-000223,2026-01-12,Client_1005,Bank Transfer,success,1838.84
TXN-000224,2026-01-17,Client_1009,Bank Transfer,success,9143.52
TXN-000225,2026-04-17,Client_1003,Bank Transfer,failed,9447.46
TXN-000226,2026-04-14,Client_1005,Bank Transfer,success,4736.48
TXN-000227,2026-01-10,Client_1003,Bills Payment,success,7269.75
TXN-000228,2026-02-20,Client_1009,Bank Transfer,success,4006.29
TXN-000229,2026-02-03,Client_1009,E-commerce,success,6761.0
TXN-000230,2026-03-28,Client_1005,Retail,success,6421.64
TXN-000231,2026-02-17,Client_1002,Bills Payment,success,6233.51
TXN-000232,2026-03-13,Client_1006,Retail,success,725.85
TXN-000233,2026-04-16,Client_1008,Bank Transfer,success,1255.09
TXN-000234,2026-01-06,Client_1001,Bank Transfer,refunded,1249.59
TXN-000235,2026-01-31,Client_1009,Bills Payment,success,3773.01
TXN-000236,2026-04-06,Client_1009,Subscription,success,7293.33
TXN-000237,2026-04-24,Client_1007,E-commerce,success,6194.96
TXN-000238,2026-02-05,Client_1001,Bank Transfer,success,4502.49
TXN-000239,2026-01-31,Client_1006,E-commerce,refunded,3736.62
TXN-000240,2026-04-26,Client_1006,E-commerce,success,1979.1
TXN-000241,2026-01-16,Client_1008,E-commerce,success,6452.87
TXN-000242,2026-03-18,Client_1001,E-commerce,success,2511.33
TXN-000243,2026-01-17,Client_1010,Bills Payment,success,7675.06
TXN-000244,2026-01-27,Client_1010,Bills Payment,success,2406.69
TXN-000245,2026-04-10,Client_1003,Retail,success,8598.22
TXN-000246,2026-01-19,Client_1003,Retail,success,1827.52
TXN-000247,2026-03-26,Client_1001,Bills Payment,success,7920.85
TXN-000248,2026-01-31,Client_1010,Bank Transfer,success,2727.14
TXN-000249,2026-01-17,Client_1007,Retail,success,729.22
TXN-000250,2026-02-27,Client_1006,Retail,success,4574.85
TXN-000251,2026-01-29,Client_1010,E-commerce,success,9096.64
TXN-000252,2026-03-26,Client_1009,Bank Transfer,success,9643.86
TXN-000253,2026-01-08,Client_1008,Subscription,success,1168.82
TXN-000254,2026-04-02,Client_1008,E-commerce,failed,3288.91
TXN-000255,2026-01-19,Client_1002,Bills Payment,success,6367.46
TXN-000256,2026-03-12,Client_1006,Subscription,refunded,5352.51
TXN-000257,2026-02-28,Client_1009,Retail,success,7951.65
TXN-000258,2026-01-15,Client_1009,Bills Payment,success,8892.1
TXN-000259,2026-02-22,Client_1006,Subscription,success,7323.16
TXN-000260,2026-02-10,Client_1007,Bank Transfer,success,3805.58
TXN-000261,2026-01-20,Client_1008,E-commerce,success,945.11
TXN-000262,2026-02-25,Client_1002,Bank Transfer,success,5608.07
TXN-000263,2026-03-17,Client_1009,Retail,success,1310.09
TXN-000264,2026-02-15,Client_1007,E-commerce,refunded,6044.06
TXN-000265,2026-02-15,Client_1002,Retail,success,1631.83
TXN-000266,2026-03-03,Client_1004,E-commerce,success,5607.03
TXN-000267,2026-01-15,Client_1005,Retail,success,4348.21
TXN-000268,2026-03-13,Client_1010,Retail,success,5611.72
TXN-000269,2026-03-19,Client_1005,E-commerce,success,7056.72
TXN-000270,2026-02-09,Client_1006,Bank Transfer,success,8711.64
TXN-000271,2026-03-14,Client_1007,E-commerce,success,6368.4
TXN-000272,2026-01-04,Client_1002,Retail,success,4256.34
TXN-000273,2026-02-13,Client_1003,Bank Transfer,success,3311.39
TXN-000274,2026-03-14,Client_1010,E-commerce,failed,1640.24
TXN-000275,2026-04-07,Client_1010,E-commerce,success,2793.82
TXN-000276,2026-03-26,Client_1007,Subscription,success,4200.42
TXN-000277,2026-01-28,Client_1009,E-commerce,success,1197.81
TXN-000278,2026-03-28,Client_1010,Subscription,success,3153.35
TXN-000279,2026-01-29,Client_1007,Retail,success,2123.79
TXN-000280,2026-01-28,Client_1003,Bank Transfer,success,1287.85
TXN-000281,2026-03-05,Client_1007,Bills Payment,success,5372.57
TXN-000282,2026-01-30,Client_1009,Retail,success,8081.38
TXN-000283,2026-01-10,Client_1007,E-commerce,success,4651.57
TXN-000284,2026-01-10,Client_1006,Retail,success,4103.79
TXN-000285,2026-03-23,Client_1007,Bank Transfer,success,306.48
